user_id,second_purchase_item_quantity,third_purchase_item_quantity,fourth_purchase_item_quantity,fifth_purchase_item_quantity,status_f3,status_f4,status_f5
439,2,2,2,2,維持,維持,維持
29670,2,2,2,2,維持,維持,維持
443,1,1,1,1,維持,維持,維持
444,3,3,3,3,維持,維持,維持
445,2,2,2,2,維持,維持,維持
450,3,,,,,,
458,2,2,2,2,維持,維持,維持
459,3,3,3,3,維持,維持,維持
464,2,2,,,維持,,
59791,2,2,2,2,維持,維持,維持
467,1,1,1,3,維持,維持,増加
15185,3,3,3,3,維持,維持,維持
481,2,2,2,2,維持,維持,維持
482,3,,,,,,
483,3,3,3,3,維持,維持,維持
485,2,2,,,維持,,
489,3,3,3,3,維持,維持,維持
490,3,3,3,3,維持,維持,維持
4345,2,2,2,2,維持,維持,維持
495,2,2,2,2,維持,維持,維持
496,3,3,3,3,維持,維持,維持
500,3,,,,,,
7813,2,2,2,2,維持,維持,維持
504,2,,,,,,
505,1,1,1,1,維持,維持,維持
507,3,3,3,3,維持,維持,維持
509,1,1,,,維持,,
511,3,3,3,3,維持,維持,維持
514,2,,,,,,
515,3,,,,,,
517,3,3,3,3,維持,維持,維持
523,3,3,3,3,維持,維持,維持
525,2,2,2,2,維持,維持,維持
529,3,3,3,,維持,維持,
530,2,2,,,維持,,
531,3,3,3,3,維持,維持,維持
17581,2,2,2,2,維持,維持,維持
537,3,3,3,3,維持,維持,維持
538,2,2,2,2,維持,維持,維持
544,3,3,3,3,維持,維持,維持
547,3,3,3,3,維持,維持,維持
6478,3,3,3,3,維持,維持,維持
551,2,2,2,,維持,維持,
10111,3,3,3,3,維持,維持,維持
560,2,2,2,2,維持,維持,維持
563,3,3,3,3,維持,維持,維持
10103,2,2,2,2,維持,維持,維持
569,1,,,,,,
33332,2,2,2,2,維持,維持,維持
573,3,3,3,3,維持,維持,維持
575,1,1,1,1,維持,維持,維持
581,2,,,,,,
212,1,2,2,2,増加,維持,維持
40503,3,3,3,3,維持,維持,維持
589,3,3,3,3,維持,維持,維持
590,3,3,3,3,維持,維持,維持
598,2,2,2,,維持,維持,
601,3,3,3,3,維持,維持,維持
602,3,,,,,,
605,3,3,3,,維持,維持,
606,2,2,2,,維持,維持,
18462,2,2,2,2,維持,維持,維持
609,2,2,2,2,維持,維持,維持
611,3,,,,,,
612,3,3,3,3,維持,維持,維持
23870,2,2,2,2,維持,維持,維持
629,1,,,,,,
638,2,,,,,,
652,1,,,,,,
655,3,3,3,3,維持,維持,維持
656,3,3,3,3,維持,維持,維持
657,3,,,,,,
659,3,3,3,3,維持,維持,維持
661,3,3,3,3,維持,維持,維持
663,3,3,3,3,維持,維持,維持
665,1,1,1,1,維持,維持,維持
670,1,,,,,,
672,2,,,,,,
673,3,3,3,3,維持,維持,維持
676,1,1,1,1,維持,維持,維持
678,3,2,2,2,減少,維持,維持
679,2,2,2,2,維持,維持,維持
681,3,3,3,3,維持,維持,維持
683,2,2,2,2,維持,維持,維持
690,2,2,,,維持,,
692,1,1,1,1,維持,維持,維持
693,3,3,3,,維持,維持,
50698,2,2,2,2,維持,維持,維持
706,1,,,,,,
708,3,3,3,3,維持,維持,維持
710,3,3,3,3,維持,維持,維持
713,3,3,3,3,維持,維持,維持
714,3,3,3,3,維持,維持,維持
722,2,2,2,,維持,維持,
724,3,3,,,維持,,
727,2,,,,,,
733,3,3,3,3,維持,維持,維持
736,2,2,2,2,維持,維持,維持
744,2,2,2,2,維持,維持,維持
745,2,2,2,2,維持,維持,維持
753,2,2,2,2,維持,維持,維持
754,1,1,1,1,維持,維持,維持
756,3,3,3,3,維持,維持,維持
767,3,3,3,3,維持,維持,維持
778,3,3,3,3,維持,維持,維持
779,1,,,,,,
787,3,3,3,3,維持,維持,維持
788,3,3,3,,維持,維持,
791,1,1,,,維持,,
793,3,3,3,3,維持,維持,維持
804,3,3,3,3,維持,維持,維持
807,2,2,2,2,維持,維持,維持
808,3,3,3,3,維持,維持,維持
809,3,3,3,3,維持,維持,維持
811,2,2,2,2,維持,維持,維持
814,3,,,,,,
46554,3,3,2,2,維持,減少,維持
818,2,2,2,2,維持,維持,維持
58216,3,3,3,3,維持,維持,維持
821,3,3,3,3,維持,維持,維持
824,3,3,3,3,維持,維持,維持
826,3,3,3,3,維持,維持,維持
827,2,2,2,2,維持,維持,維持
828,2,2,2,,維持,維持,
832,3,3,,,維持,,
833,2,,,,,,
835,2,2,2,2,維持,維持,維持
28984,3,3,3,3,維持,維持,維持
841,3,3,3,,維持,維持,
33928,2,2,2,2,維持,維持,維持
859,2,2,2,2,維持,維持,維持
860,2,2,2,2,維持,維持,維持
36472,3,3,3,3,維持,維持,維持
42951,3,3,3,3,維持,維持,維持
863,2,2,2,2,維持,維持,維持
868,3,3,3,3,維持,維持,維持
885,3,3,3,3,維持,維持,維持
888,3,3,3,3,維持,維持,維持
891,3,3,3,3,維持,維持,維持
896,3,3,3,3,維持,維持,維持
45851,2,2,2,2,維持,維持,維持
900,3,3,3,3,維持,維持,維持
901,3,3,,,維持,,
903,3,3,3,3,維持,維持,維持
905,3,3,3,3,維持,維持,維持
907,3,3,3,3,維持,維持,維持
915,3,3,3,3,維持,維持,維持
917,3,3,3,3,維持,維持,維持
918,3,3,3,,維持,維持,
929,2,2,2,2,維持,維持,維持
934,3,3,3,3,維持,維持,維持
936,3,3,3,3,維持,維持,維持
937,3,3,,,維持,,
939,2,,,,,,
940,2,2,2,2,維持,維持,維持
942,2,2,2,2,維持,維持,維持
4149,2,2,2,2,維持,維持,維持
30163,2,2,2,2,維持,維持,維持
954,3,,,,,,
955,3,,,,,,
958,2,2,2,,維持,維持,
961,3,3,3,3,維持,維持,維持
962,2,2,2,2,維持,維持,維持
43076,2,2,2,2,維持,維持,維持
968,3,3,3,3,維持,維持,維持
971,2,2,2,2,維持,維持,維持
974,3,3,3,3,維持,維持,維持
980,3,3,3,3,維持,維持,維持
982,3,3,3,3,維持,維持,維持
985,3,3,3,3,維持,維持,維持
986,3,3,3,3,維持,維持,維持
993,1,1,1,1,維持,維持,維持
994,3,3,3,3,維持,維持,維持
1001,3,3,3,3,維持,維持,維持
1008,2,2,2,2,維持,維持,維持
1013,2,2,2,2,維持,維持,維持
1016,3,3,3,3,維持,維持,維持
1018,3,3,3,3,維持,維持,維持
1019,1,1,1,,維持,維持,
1020,3,3,3,3,維持,維持,維持
1021,3,3,3,3,維持,維持,維持
1035,3,,,,,,
1036,3,3,3,3,維持,維持,維持
1044,3,3,3,3,維持,維持,維持
16864,2,2,2,2,維持,維持,維持
1049,3,3,3,3,維持,維持,維持
29759,3,3,3,3,維持,維持,維持
1055,2,,,,,,
1058,3,3,3,3,維持,維持,維持
1059,2,2,,,維持,,
1061,1,1,1,1,維持,維持,維持
1070,3,3,3,3,維持,維持,維持
8324,2,2,2,2,維持,維持,維持
1076,3,3,3,3,維持,維持,維持
13800,2,2,2,2,維持,維持,維持
1085,1,1,1,1,維持,維持,維持
1089,3,3,,,維持,,
1093,3,,,,,,
1094,3,3,3,3,維持,維持,維持
39656,3,3,3,1,維持,維持,減少
10277,3,3,3,3,維持,維持,維持
20076,2,2,2,2,維持,維持,維持
24136,3,3,3,3,維持,維持,維持
1105,3,3,3,3,維持,維持,維持
1106,2,2,,,維持,,
1107,2,,,,,,
1112,3,3,,,維持,,
1114,3,3,3,3,維持,維持,維持
1115,3,3,3,3,維持,維持,維持
1120,1,1,1,1,維持,維持,維持
1125,3,3,3,3,維持,維持,維持
1129,2,2,2,2,維持,維持,維持
1131,1,1,1,2,維持,維持,増加
1132,2,2,,,維持,,
1134,3,3,3,3,維持,維持,維持
58670,2,2,2,2,維持,維持,維持
1139,3,3,3,3,維持,維持,維持
1141,3,,,,,,
1142,3,3,3,3,維持,維持,維持
1144,3,3,3,3,維持,維持,維持
1146,2,2,2,2,維持,維持,維持
1147,3,3,3,3,維持,維持,維持
1148,3,3,3,3,維持,維持,維持
1150,3,3,3,3,維持,維持,維持
1154,2,,,,,,
1160,2,,,,,,
1170,3,3,3,3,維持,維持,維持
1172,3,3,3,3,維持,維持,維持
1174,3,3,3,3,維持,維持,維持
1175,3,3,3,3,維持,維持,維持
1179,3,3,3,3,維持,維持,維持
1184,3,3,2,2,維持,減少,維持
1188,3,3,3,3,維持,維持,維持
20662,3,3,3,3,維持,維持,維持
1192,3,,,,,,
1193,2,2,2,2,維持,維持,維持
1194,3,3,3,3,維持,維持,維持
21208,3,3,3,3,維持,維持,維持
1198,3,,,,,,
1200,3,3,3,3,維持,維持,維持
1201,3,3,3,3,維持,維持,維持
25686,3,3,3,3,維持,維持,維持
30340,3,3,2,2,維持,減少,維持
1215,3,3,3,3,維持,維持,維持
1216,3,3,3,,維持,維持,
1217,1,1,1,1,維持,維持,維持
1218,3,3,3,3,維持,維持,維持
37989,3,3,3,3,維持,維持,維持
1225,3,3,3,3,維持,維持,維持
1227,3,3,3,3,維持,維持,維持
39691,3,3,3,3,維持,維持,維持
57512,3,3,3,3,維持,維持,維持
1232,2,2,2,2,維持,維持,維持
42969,2,2,2,2,維持,維持,維持
1236,2,2,2,2,維持,維持,維持
1237,3,3,3,,維持,維持,
1240,3,3,3,3,維持,維持,維持
1251,3,3,,,維持,,
40745,3,2,2,2,減少,維持,維持
1257,2,,,,,,
1264,3,3,3,3,維持,維持,維持
27149,2,3,3,3,増加,維持,維持
1269,3,3,3,3,維持,維持,維持
1271,3,3,3,3,維持,維持,維持
1274,3,3,3,3,維持,維持,維持
42840,2,2,3,3,維持,増加,維持
1281,3,3,3,3,維持,維持,維持
59570,3,2,2,2,減少,維持,維持
38277,2,2,2,2,維持,維持,維持
861,3,3,3,3,維持,維持,維持
1294,3,,,,,,
1298,3,3,3,3,維持,維持,維持
2308,3,3,3,3,維持,維持,維持
2541,3,3,3,3,維持,維持,維持
1306,2,2,2,2,維持,維持,維持
1311,2,2,2,1,維持,維持,減少
1317,1,1,1,1,維持,維持,維持
1319,3,3,3,3,維持,維持,維持
1322,2,2,2,2,維持,維持,維持
5577,3,3,3,3,維持,維持,維持
1330,3,3,3,3,維持,維持,維持
1333,3,3,3,3,維持,維持,維持
1334,3,3,3,3,維持,維持,維持
1337,3,3,3,3,維持,維持,維持
1342,2,2,2,2,維持,維持,維持
1345,2,2,,,維持,,
1351,3,3,3,,維持,維持,
1353,3,,,,,,
6184,2,2,2,2,維持,維持,維持
1358,1,1,1,1,維持,維持,維持
1361,1,,,,,,
1362,3,3,,,維持,,
1364,3,3,1,1,維持,減少,維持
1367,3,3,,,維持,,
1368,3,3,3,3,維持,維持,維持
1369,2,2,2,2,維持,維持,維持
1371,3,,,,,,
1373,2,2,2,2,維持,維持,維持
1375,1,1,1,1,維持,維持,維持
1376,3,3,3,3,維持,維持,維持
1379,3,3,3,3,維持,維持,維持
6395,2,2,2,2,維持,維持,維持
1382,3,3,3,3,維持,維持,維持
1383,3,3,3,3,維持,維持,維持
1384,3,3,3,3,維持,維持,維持
7033,3,3,2,2,維持,減少,維持
1390,3,3,3,3,維持,維持,維持
1392,2,,,,,,
1394,3,,,,,,
1397,3,3,3,3,維持,維持,維持
1402,3,3,3,,維持,維持,
1404,3,3,3,3,維持,維持,維持
1405,2,2,2,2,維持,維持,維持
7086,3,3,2,2,維持,減少,維持
1426,1,1,1,1,維持,維持,維持
1429,2,2,2,2,維持,維持,維持
1433,3,3,3,3,維持,維持,維持
1434,3,3,3,3,維持,維持,維持
1436,3,3,3,3,維持,維持,維持
1437,3,3,3,3,維持,維持,維持
1440,3,3,3,3,維持,維持,維持
1441,3,3,3,3,維持,維持,維持
1442,2,2,2,,維持,維持,
7184,3,3,3,3,維持,維持,維持
1450,3,3,,,維持,,
1451,2,2,,,維持,,
1454,3,3,,,維持,,
7545,3,3,3,3,維持,維持,維持
1457,3,3,3,3,維持,維持,維持
1458,3,3,3,3,維持,維持,維持
1460,3,3,3,3,維持,維持,維持
1464,3,,,,,,
1465,3,3,3,3,維持,維持,維持
1466,3,3,3,3,維持,維持,維持
7596,3,3,3,3,維持,維持,維持
1476,3,,,,,,
1490,2,2,2,,維持,維持,
9151,3,3,3,3,維持,維持,維持
1493,3,3,3,3,維持,維持,維持
1494,3,3,3,1,維持,維持,減少
1496,3,3,3,3,維持,維持,維持
9422,3,3,3,3,維持,維持,維持
1504,3,3,3,3,維持,維持,維持
10978,2,2,2,2,維持,維持,維持
1513,3,3,3,3,維持,維持,維持
1517,3,3,3,3,維持,維持,維持
1518,1,1,1,1,維持,維持,維持
1526,3,3,3,3,維持,維持,維持
12419,3,3,3,3,維持,維持,維持
1538,3,3,3,,維持,維持,
1544,3,3,3,3,維持,維持,維持
15299,3,3,3,3,維持,維持,維持
1552,3,,,,,,
1560,3,3,3,3,維持,維持,維持
1563,2,2,2,2,維持,維持,維持
1565,2,2,2,2,維持,維持,維持
1566,2,2,2,2,維持,維持,維持
1579,3,3,3,3,維持,維持,維持
1580,2,2,2,,維持,維持,
15378,3,3,3,3,維持,維持,維持
1585,1,,,,,,
1586,3,3,3,3,維持,維持,維持
16263,3,3,3,3,維持,維持,維持
1593,2,,,,,,
1594,3,3,3,3,維持,維持,維持
1596,3,2,2,2,減少,維持,維持
1598,2,,,,,,
16912,3,3,3,3,維持,維持,維持
1606,3,3,3,3,維持,維持,維持
1608,3,3,3,,維持,維持,
1610,3,3,3,3,維持,維持,維持
18560,3,3,3,3,維持,維持,維持
1616,3,,,,,,
1619,3,3,3,3,維持,維持,維持
19348,3,3,3,3,維持,維持,維持
1621,2,2,,,維持,,
1624,3,3,3,3,維持,維持,維持
1626,3,3,3,3,維持,維持,維持
1627,2,2,2,2,維持,維持,維持
1631,1,1,1,1,維持,維持,維持
1635,3,3,3,3,維持,維持,維持
1636,2,2,2,2,維持,維持,維持
1643,3,3,3,3,維持,維持,維持
1644,3,3,3,3,維持,維持,維持
1645,3,3,,,維持,,
1648,3,3,3,3,維持,維持,維持
20123,3,3,3,3,維持,維持,維持
1654,3,,,,,,
21214,3,3,3,3,維持,維持,維持
21330,3,3,3,3,維持,維持,維持
1657,3,,,,,,
1660,3,3,3,3,維持,維持,維持
1661,2,2,,,維持,,
23887,3,3,3,3,維持,維持,維持
24416,2,2,2,2,維持,維持,維持
1670,2,2,2,2,維持,維持,維持
1674,3,3,3,3,維持,維持,維持
1680,3,3,2,2,維持,減少,維持
24745,3,3,3,3,維持,維持,維持
1693,2,2,2,2,維持,維持,維持
1694,3,3,3,3,維持,維持,維持
1695,3,3,3,3,維持,維持,維持
1697,2,2,2,,維持,維持,
1701,3,,,,,,
1702,3,3,3,3,維持,維持,維持
1703,2,2,2,2,維持,維持,維持
1711,3,3,3,3,維持,維持,維持
1724,3,3,3,3,維持,維持,維持
1725,2,2,2,2,維持,維持,維持
1726,3,,,,,,
1727,2,2,2,1,維持,維持,減少
1731,2,2,,,維持,,
1733,3,3,3,3,維持,維持,維持
1734,3,3,3,3,維持,維持,維持
1735,3,,,,,,
25628,3,3,3,3,維持,維持,維持
1739,3,3,3,3,維持,維持,維持
1740,3,3,3,3,維持,維持,維持
1741,3,3,3,3,維持,維持,維持
1745,3,3,3,3,維持,維持,維持
25917,3,3,3,3,維持,維持,維持
1752,3,3,3,3,維持,維持,維持
26702,3,3,3,3,維持,維持,維持
1756,3,2,2,,減少,維持,
26834,2,2,2,2,維持,維持,維持
1762,3,3,2,2,維持,減少,維持
1763,2,2,2,2,維持,維持,維持
27732,2,2,2,2,維持,維持,維持
1779,3,3,,,維持,,
1780,3,,,,,,
1787,3,3,3,3,維持,維持,維持
1788,2,2,2,2,維持,維持,維持
1790,1,1,1,,維持,維持,
1793,3,3,3,3,維持,維持,維持
1797,2,,,,,,
29258,3,3,3,3,維持,維持,維持
1806,2,2,2,2,維持,維持,維持
30710,3,3,3,3,維持,維持,維持
1809,2,2,2,2,維持,維持,維持
1817,1,,,,,,
1823,3,3,3,3,維持,維持,維持
1825,3,3,3,3,維持,維持,維持
1830,3,3,3,,維持,維持,
1836,2,2,2,2,維持,維持,維持
1838,2,2,2,2,維持,維持,維持
1839,3,3,,,維持,,
1843,3,3,3,,維持,維持,
1850,2,2,2,2,維持,維持,維持
1856,3,3,3,3,維持,維持,維持
1859,3,3,3,3,維持,維持,維持
1860,3,,,,,,
31091,3,3,3,3,維持,維持,維持
1868,2,2,2,2,維持,維持,維持
1869,3,3,3,3,維持,維持,維持
1871,2,2,2,2,維持,維持,維持
1876,3,3,3,3,維持,維持,維持
1878,3,3,3,3,維持,維持,維持
1879,3,3,3,3,維持,維持,維持
1880,3,3,3,3,維持,維持,維持
1888,3,3,3,3,維持,維持,維持
32918,3,3,3,3,維持,維持,維持
1891,3,3,3,3,維持,維持,維持
33664,3,3,3,3,維持,維持,維持
34032,3,3,3,3,維持,維持,維持
34737,3,3,3,3,維持,維持,維持
1917,3,,,,,,
1924,3,3,3,3,維持,維持,維持
1925,3,3,3,3,維持,維持,維持
1926,3,2,,,減少,,
1931,3,3,3,3,維持,維持,維持
1932,2,2,2,2,維持,維持,維持
1933,3,3,3,3,維持,維持,維持
35210,3,3,3,3,維持,維持,維持
38096,3,3,3,3,維持,維持,維持
1942,3,3,3,3,維持,維持,維持
1945,3,3,3,3,維持,維持,維持
1952,3,3,3,3,維持,維持,維持
1953,3,2,2,,減少,維持,
1954,2,,,,,,
1965,2,2,2,2,維持,維持,維持
41312,3,3,3,3,維持,維持,維持
1968,3,3,3,3,維持,維持,維持
1969,3,3,3,3,維持,維持,維持
47443,3,3,3,3,維持,維持,維持
1977,3,3,,,維持,,
1981,3,3,3,3,維持,維持,維持
1986,2,2,2,2,維持,維持,維持
1989,3,3,3,3,維持,維持,維持
50239,3,3,3,3,維持,維持,維持
2015,2,,,,,,
2021,3,3,3,3,維持,維持,維持
2026,3,3,3,3,維持,維持,維持
51583,3,3,3,3,維持,維持,維持
2034,3,3,3,3,維持,維持,維持
2041,3,3,2,2,維持,減少,維持
53284,3,3,3,3,維持,維持,維持
2043,2,2,2,2,維持,維持,維持
2050,3,3,,,維持,,
2051,3,3,3,3,維持,維持,維持
54556,3,3,3,3,維持,維持,維持
2055,3,3,3,3,維持,維持,維持
2059,3,3,3,1,維持,維持,減少
2062,3,3,3,3,維持,維持,維持
2064,2,2,1,,維持,減少,
2066,3,3,3,3,維持,維持,維持
2069,2,2,2,2,維持,維持,維持
55190,3,3,3,3,維持,維持,維持
2073,3,3,,,維持,,
58638,3,3,3,3,維持,維持,維持
2075,2,2,2,2,維持,維持,維持
2076,2,2,2,2,維持,維持,維持
6461,3,3,3,3,維持,維持,維持
2090,3,3,3,3,維持,維持,維持
2093,3,3,3,3,維持,維持,維持
25482,2,2,2,1,維持,維持,減少
2096,2,2,,,維持,,
2101,3,3,3,3,維持,維持,維持
2102,3,3,3,3,維持,維持,維持
39034,2,2,2,2,維持,維持,維持
2105,2,2,2,2,維持,維持,維持
2113,3,,,,,,
2121,3,3,3,3,維持,維持,維持
2125,3,3,3,3,維持,維持,維持
2131,2,2,3,3,維持,増加,維持
5474,3,3,3,3,維持,維持,維持
2135,2,2,2,2,維持,維持,維持
2141,3,3,3,3,維持,維持,維持
2143,3,3,3,3,維持,維持,維持
2144,3,3,3,3,維持,維持,維持
2145,3,,,,,,
2149,2,2,2,2,維持,維持,維持
2160,2,2,2,2,維持,維持,維持
2161,1,1,1,1,維持,維持,維持
2163,3,3,3,3,維持,維持,維持
2165,2,2,2,2,維持,維持,維持
5582,3,3,3,3,維持,維持,維持
2173,2,2,2,2,維持,維持,維持
6964,3,3,3,3,維持,維持,維持
2176,2,2,2,2,維持,維持,維持
2179,3,3,3,3,維持,維持,維持
2180,3,3,,,維持,,
2181,3,,,,,,
2186,3,3,,,維持,,
2188,3,3,3,3,維持,維持,維持
2190,3,,,,,,
2191,3,3,3,3,維持,維持,維持
2192,2,2,2,2,維持,維持,維持
2194,3,3,,,維持,,
2196,1,1,1,1,維持,維持,維持
2204,2,,,,,,
2206,3,,,,,,
2209,3,3,3,3,維持,維持,維持
2219,3,3,3,3,維持,維持,維持
12025,3,3,3,3,維持,維持,維持
2224,2,2,2,2,維持,維持,維持
16825,3,3,3,3,維持,維持,維持
2230,3,3,3,3,維持,維持,維持
2231,3,3,3,3,維持,維持,維持
21480,3,3,3,3,維持,維持,維持
2239,2,2,2,2,維持,維持,維持
2240,3,,,,,,
34804,1,1,1,3,維持,維持,増加
2245,3,3,3,3,維持,維持,維持
2255,2,2,2,2,維持,維持,維持
2260,2,2,2,2,維持,維持,維持
2262,2,3,3,3,増加,維持,維持
2266,3,3,3,3,維持,維持,維持
2269,1,1,1,1,維持,維持,維持
2270,3,3,3,3,維持,維持,維持
2274,2,2,2,2,維持,維持,維持
2286,3,3,3,3,維持,維持,維持
2290,2,2,2,,維持,維持,
41756,3,3,3,3,維持,維持,維持
2302,1,1,1,1,維持,維持,維持
41838,3,3,3,3,維持,維持,維持
2304,3,3,,,維持,,
2307,2,2,2,2,維持,維持,維持
49778,3,3,3,3,維持,維持,維持
9229,2,2,2,2,維持,維持,維持
2311,2,2,2,2,維持,維持,維持
2313,3,3,3,3,維持,維持,維持
2314,2,2,2,,維持,維持,
2320,2,2,2,2,維持,維持,維持
2321,2,,,,,,
10551,3,3,3,1,維持,維持,減少
2324,3,3,3,3,維持,維持,維持
2326,3,3,3,3,維持,維持,維持
2331,3,3,3,3,維持,維持,維持
2333,3,3,3,3,維持,維持,維持
2336,2,2,2,2,維持,維持,維持
2344,3,3,3,3,維持,維持,維持
2348,3,,,,,,
2351,3,,,,,,
2352,2,2,2,2,維持,維持,維持
2353,3,3,3,3,維持,維持,維持
2354,1,1,1,1,維持,維持,維持
2356,2,2,,,維持,,
2361,3,3,3,3,維持,維持,維持
14983,1,1,3,3,維持,増加,維持
2371,2,2,2,2,維持,維持,維持
2373,3,3,3,3,維持,維持,維持
2377,3,,,,,,
2379,3,3,3,3,維持,維持,維持
20799,2,2,2,3,維持,維持,増加
2383,1,1,1,1,維持,維持,維持
2384,3,3,3,3,維持,維持,維持
22379,2,2,2,2,維持,維持,維持
2389,3,3,3,,維持,維持,
2392,3,,,,,,
2395,3,3,3,3,維持,維持,維持
2399,3,3,3,3,維持,維持,維持
2402,3,3,3,3,維持,維持,維持
24250,2,2,2,2,維持,維持,維持
2407,3,3,3,3,維持,維持,維持
2409,3,3,3,3,維持,維持,維持
2417,3,3,3,3,維持,維持,維持
2424,2,2,2,2,維持,維持,維持
25953,3,3,3,1,維持,維持,減少
2429,3,3,3,3,維持,維持,維持
26673,3,3,3,2,維持,維持,減少
2434,3,3,3,3,維持,維持,維持
